Santa Clara, CA, Sun May  3 17:57:37 PDT 2020,2,3098,,
Santa Clara, CA, Sun May  3 17:57:39 PDT 2020,1,2480,,
Santa Clara, CA, Sun May  3 19:33:10 PDT 2020,2,3098,,
Santa Clara, CA, Sun May  3 19:33:14 PDT 2020,1,2480,,
Cupertino, CA, Sun May  3 19:33:18 PDT 2020,2,3435,,
Cupertino, CA, Sun May  3 19:33:23 PDT 2020,1,2671,,
Santa Clara, CA, Sun May  3 20:27:41 PDT 2020,2,3172.5,,
Santa Clara, CA, Sun May  3 20:27:44 PDT 2020,1,2530,,
Cupertino, CA, Sun May  3 20:27:45 PDT 2020,2,3172.5,,
Cupertino, CA, Sun May  3 20:27:47 PDT 2020,1,2530,,
San Francisco, CA, Sun May  3 20:27:50 PDT 2020,2,4440.5,,
San Francisco, CA, Sun May  3 20:27:52 PDT 2020,1,3247.5,,
Los Angeles, CA, Sun May  3 20:27:54 PDT 2020,2,2595,,
Los Angeles, CA, Sun May  3 20:27:56 PDT 2020,1,1799.5,,
San Diego, CA, Sun May  3 20:27:58 PDT 2020,2,2295,,
San Diego, CA, Sun May  3 20:28:00 PDT 2020,1,1835,,
New York, NY, Sun May  3 20:28:02 PDT 2020,2,2497,,
New York, NY, Sun May  3 20:28:05 PDT 2020,1,2195,,
Philadelphia, PA, Sun May  3 20:28:08 PDT 2020,2,1935,,
Philadelphia, PA, Sun May  3 20:28:10 PDT 2020,1,1555,,
Washington, DC, Sun May  3 20:28:12 PDT 2020,2,1866,,
Washington, DC, Sun May  3 20:28:14 PDT 2020,1,1633.5,,
Miami, FL, Sun May  3 20:28:16 PDT 2020,2,1650,,
Miami, FL, Sun May  3 20:28:18 PDT 2020,1,1450,,
Seattle, WA, Sun May  3 21:02:50 PDT 2020,2,1905,,
Seattle, WA, Sun May  3 21:02:53 PDT 2020,1,1895,,
Boston, MA, Sun May  3 21:02:55 PDT 2020,2,2250,,
Boston, MA, Sun May  3 21:02:57 PDT 2020,1,1800,,
Santa Clara, CA, Mon May  4 18:46:10 PDT 2020,2,2873.5,,
Santa Clara, CA, Mon May  4 18:46:13 PDT 2020,1,2511,,
Cupertino, CA, Mon May  4 18:46:15 PDT 2020,2,2873.5,,
Cupertino, CA, Mon May  4 18:46:16 PDT 2020,1,2511,,
San Francisco, CA, Mon May  4 18:46:18 PDT 2020,2,4290,,
San Francisco, CA, Mon May  4 18:46:20 PDT 2020,1,3134,,
Los Angeles, CA, Mon May  4 18:46:21 PDT 2020,2,2600,,
Los Angeles, CA, Mon May  4 18:46:24 PDT 2020,1,1875,,
San Diego, CA, Mon May  4 18:46:27 PDT 2020,2,2197.5,,
San Diego, CA, Mon May  4 18:46:29 PDT 2020,1,1783,,
Seattle, WA, Mon May  4 18:46:31 PDT 2020,2,1825,,
Seattle, WA, Mon May  4 18:46:33 PDT 2020,1,1735,,
Boston, MA, Mon May  4 18:46:35 PDT 2020,2,2275,,
Boston, MA, Mon May  4 18:46:37 PDT 2020,1,1870,,
New York, NY, Mon May  4 18:46:39 PDT 2020,2,2400,,
New York, NY, Mon May  4 18:46:41 PDT 2020,1,1959,,
Philadelphia, PA, Mon May  4 18:46:43 PDT 2020,2,1607.5,,
Philadelphia, PA, Mon May  4 18:46:46 PDT 2020,1,1465,,
Washington, DC, Mon May  4 18:46:48 PDT 2020,2,1775,,
Washington, DC, Mon May  4 18:46:50 PDT 2020,1,1610.5,,
Miami, FL, Mon May  4 18:46:52 PDT 2020,2,1725,,
Miami, FL, Mon May  4 18:46:54 PDT 2020,1,1450,,
Santa Clara, CA, Mon May  4 20:18:52 PDT 2020,2,3045,117,
Santa Clara, CA, Mon May  4 20:18:54 PDT 2020,1,2535,118,
Cupertino, CA, Mon May  4 20:18:56 PDT 2020,2,3045,117,
Cupertino, CA, Mon May  4 20:18:58 PDT 2020,1,2535,118,
San Francisco, CA, Mon May  4 20:19:00 PDT 2020,2,4150,121,
San Francisco, CA, Mon May  4 20:19:02 PDT 2020,1,3100,123,
Los Angeles, CA, Mon May  4 20:19:04 PDT 2020,2,2579.5,130,
Los Angeles, CA, Mon May  4 20:19:06 PDT 2020,1,2027,116,
San Diego, CA, Mon May  4 20:19:08 PDT 2020,2,2195,120,
San Diego, CA, Mon May  4 20:19:10 PDT 2020,1,1783,119,
Seattle, WA, Mon May  4 20:19:12 PDT 2020,2,1820,119,
Seattle, WA, Mon May  4 20:19:14 PDT 2020,1,1700,117,
Boston, MA, Mon May  4 20:19:16 PDT 2020,2,2250,123,
Boston, MA, Mon May  4 20:19:19 PDT 2020,1,1875,129,
New York, NY, Mon May  4 20:19:21 PDT 2020,2,2395,136,
New York, NY, Mon May  4 20:19:23 PDT 2020,1,1959,141,
Philadelphia, PA, Mon May  4 20:19:25 PDT 2020,2,1620,129,
Philadelphia, PA, Mon May  4 20:19:27 PDT 2020,1,1427.5,124,
Washington, DC, Mon May  4 20:19:29 PDT 2020,2,1804,113,
Washington, DC, Mon May  4 20:19:31 PDT 2020,1,1622.5,108,
Miami, FL, Mon May  4 20:19:34 PDT 2020,2,1700,136,
Miami, FL, Mon May  4 20:19:36 PDT 2020,1,1425,139,
Santa Clara, CA, Mon May  4 20:24:33 PDT 2020,2,3007,125,
Santa Clara, CA, Mon May  4 20:24:35 PDT 2020,1,2480,119,
Cupertino, CA, Mon May  4 20:24:37 PDT 2020,2,3378,102,
Cupertino, CA, Mon May  4 20:24:39 PDT 2020,1,2705,123,
Santa Clara, CA, Mon May  4 20:30:22 PDT 2020,2,3007,125,487.557143449906
Santa Clara, CA, Mon May  4 20:30:24 PDT 2020,1,2480,119,478.916952479414
Cupertino, CA, Mon May  4 20:30:26 PDT 2020,2,3378,102,605.097073417638
Cupertino, CA, Mon May  4 20:30:27 PDT 2020,1,2705,123,671.015662404629
Santa Clara, CA, Mon May  4 20:39:05 PDT 2020,2,3007,121,493.059144916383
Santa Clara, CA, Mon May  4 20:39:09 PDT 2020,1,2490,115,476.926661956344
Cupertino, CA, Mon May  4 20:39:11 PDT 2020,2,3361,98,614.194110716265
Cupertino, CA, Mon May  4 20:39:15 PDT 2020,1,2653,109,700.982158773039
San Francisco, CA, Mon May  4 20:39:18 PDT 2020,2,3999.5,116,1349.31234824204
San Francisco, CA, Mon May  4 20:39:23 PDT 2020,1,3100,119,1032.77942823548
Los Angeles, CA, Mon May  4 20:39:28 PDT 2020,2,2548,112,995.219818133687
Los Angeles, CA, Mon May  4 20:39:34 PDT 2020,1,1995,113,571.971106564507
San Diego, CA, Mon May  4 20:39:39 PDT 2020,2,2195,119,628.158405110852
San Diego, CA, Mon May  4 20:39:41 PDT 2020,1,1770,118,361.65092782542
Seattle, WA, Mon May  4 20:39:44 PDT 2020,2,1820,119,771.99126117796
Seattle, WA, Mon May  4 20:39:48 PDT 2020,1,1600,115,546.063703070284
Boston, MA, Mon May  4 20:39:52 PDT 2020,2,2250,117,709.429574760142
Boston, MA, Mon May  4 20:39:55 PDT 2020,1,1875,109,600.94860353533
New York, NY, Mon May  4 20:39:58 PDT 2020,2,2400,108,686.119366218873
New York, NY, Mon May  4 20:40:01 PDT 2020,1,1995,103,602.642092870845
Philadelphia, PA, Mon May  4 20:40:04 PDT 2020,2,1720,115,526.47369713571
Philadelphia, PA, Mon May  4 20:40:06 PDT 2020,1,1439.5,120,461.995408746755
Washington, DC, Mon May  4 20:40:08 PDT 2020,2,1745,107,793.493990589561
Washington, DC, Mon May  4 20:40:11 PDT 2020,1,1550,99,471.165702215842
Miami, FL, Mon May  4 20:40:14 PDT 2020,2,1665,117,682.983684671787
Miami, FL, Mon May  4 20:40:17 PDT 2020,1,1420,130,373.850656967414
Santa Clara, CA, Tue May  5 18:36:20 PDT 2020,2,2968.5,122,475.781166004289
Santa Clara, CA, Tue May  5 18:36:22 PDT 2020,1,2486,118,354.93553370586
Cupertino, CA, Tue May  5 18:36:24 PDT 2020,2,3343,108,611.740835747581
Cupertino, CA, Tue May  5 18:36:26 PDT 2020,1,2395,114,715.744135892125
San Francisco, CA, Tue May  5 18:36:28 PDT 2020,2,4097.5,118,1583.44412485497
San Francisco, CA, Tue May  5 18:36:30 PDT 2020,1,3195,117,851.599738260715
Los Angeles, CA, Tue May  5 18:36:32 PDT 2020,2,2495,115,1012.55539461051
Los Angeles, CA, Tue May  5 18:36:35 PDT 2020,1,1895,113,572.697134808134
San Diego, CA, Tue May  5 18:36:37 PDT 2020,2,2125,116,542.305222842855
San Diego, CA, Tue May  5 18:36:39 PDT 2020,1,1765,117,415.615907269535
Seattle, WA, Tue May  5 18:36:41 PDT 2020,2,1722.5,120,810.999373072045
Seattle, WA, Tue May  5 18:36:43 PDT 2020,1,1581,119,631.725826839662
Boston, MA, Tue May  5 18:36:45 PDT 2020,2,2300,117,976.998890333223
Boston, MA, Tue May  5 18:36:47 PDT 2020,1,1895,110,569.389543980213
New York, NY, Tue May  5 18:36:49 PDT 2020,2,2500,103,1493.76311007201
New York, NY, Tue May  5 18:36:52 PDT 2020,1,1950,106,811.818409226933
Philadelphia, PA, Tue May  5 18:36:54 PDT 2020,2,1594,103,650.029553282673
Philadelphia, PA, Tue May  5 18:36:56 PDT 2020,1,1495,104,342.504305533793
Washington, DC, Tue May  5 18:36:58 PDT 2020,2,2395,114,853.024718512187
Washington, DC, Tue May  5 18:37:01 PDT 2020,1,1765,110,489.502938982727
Miami, FL, Tue May  5 18:37:03 PDT 2020,2,1653,129,586.237485300549
Miami, FL, Tue May  5 18:37:06 PDT 2020,1,1402.5,130,1000.70185343254
Santa Clara, CA, Wed May  6 19:57:15 PDT 2020,2,2945,118,463.823627684215
Santa Clara, CA, Wed May  6 19:57:18 PDT 2020,1,2490,122,405.795676683824
Cupertino, CA, Wed May  6 19:57:21 PDT 2020,2,3351,113,563.690022976984
Cupertino, CA, Wed May  6 19:57:23 PDT 2020,1,2395,107,649.502819227754
San Francisco, CA, Wed May  6 19:57:25 PDT 2020,2,4270,116,1747.49925573678
San Francisco, CA, Wed May  6 19:57:27 PDT 2020,1,3100,110,1060.85837453719
Los Angeles, CA, Wed May  6 19:57:29 PDT 2020,2,2495,117,1157.22992392047
Los Angeles, CA, Wed May  6 19:57:32 PDT 2020,1,1934,114,659.926887361023
San Diego, CA, Wed May  6 19:57:34 PDT 2020,2,2079.5,116,517.336011723026
San Diego, CA, Wed May  6 19:57:37 PDT 2020,1,1780,122,434.196245207615
Seattle, WA, Wed May  6 19:57:39 PDT 2020,2,1678.5,118,601.486842620497
Seattle, WA, Wed May  6 19:57:42 PDT 2020,1,1578,118,512.262688614829
Boston, MA, Wed May  6 19:57:45 PDT 2020,2,2300,110,676.515830110667
Boston, MA, Wed May  6 19:57:47 PDT 2020,1,1897.5,110,481.674965504396
New York, NY, Wed May  6 19:57:50 PDT 2020,2,2463,104,1536.06338308665
New York, NY, Wed May  6 19:57:52 PDT 2020,1,2000,111,1040.98507975942
Philadelphia, PA, Wed May  6 19:57:55 PDT 2020,2,1620,116,645.070936384919
Philadelphia, PA, Wed May  6 19:57:57 PDT 2020,1,1350,113,386.390354032035
Washington, DC, Wed May  6 19:57:59 PDT 2020,2,1870,114,753.748285488004
Washington, DC, Wed May  6 19:58:02 PDT 2020,1,1700,102,423.748995769027
Miami, FL, Wed May  6 19:58:05 PDT 2020,2,1684,112,466.261990954114
Miami, FL, Wed May  6 19:58:07 PDT 2020,1,1300,113,478.303521182391
Santa Clara, CA, Thu May  7 16:25:45 PDT 2020,2,2895,118,428.410524331126
Santa Clara, CA, Thu May  7 16:25:48 PDT 2020,1,2395,121,402.336737759509
Cupertino, CA, Thu May  7 16:25:50 PDT 2020,2,3395,111,551.487424184431
Cupertino, CA, Thu May  7 16:25:51 PDT 2020,1,2395,111,634.251620494515
San Francisco, CA, Thu May  7 16:25:53 PDT 2020,2,4250,119,3061.4287540917
San Francisco, CA, Thu May  7 16:25:55 PDT 2020,1,3199,119,969.615911487489
Los Angeles, CA, Thu May  7 16:25:57 PDT 2020,2,2371,117,925.375309989598
Los Angeles, CA, Thu May  7 16:25:59 PDT 2020,1,1916,112,828.875621119573
San Diego, CA, Thu May  7 16:26:02 PDT 2020,2,2135,115,521.997774499816
San Diego, CA, Thu May  7 16:26:04 PDT 2020,1,1750,115,435.160916430239
Seattle, WA, Thu May  7 16:26:06 PDT 2020,2,1805,119,939.194554647676
Seattle, WA, Thu May  7 16:26:08 PDT 2020,1,1626.5,118,565.571726107447
Boston, MA, Thu May  7 16:26:10 PDT 2020,2,2250,107,931.20571827867
Boston, MA, Thu May  7 16:26:12 PDT 2020,1,1862.5,108,710.723671388291
New York, NY, Thu May  7 16:26:14 PDT 2020,2,2400,105,1233.96473210269
New York, NY, Thu May  7 16:26:15 PDT 2020,1,2100,109,973.28964108852
Philadelphia, PA, Thu May  7 16:26:18 PDT 2020,2,1700,100,590.908086992154
Philadelphia, PA, Thu May  7 16:26:20 PDT 2020,1,1495,104,441.268026540786
Washington, DC, Thu May  7 16:26:22 PDT 2020,2,1770,113,563.545333369309
Washington, DC, Thu May  7 16:26:24 PDT 2020,1,1571,107,603.873668211515
Miami, FL, Thu May  7 16:26:26 PDT 2020,2,1650,113,538.809208191414
Miami, FL, Thu May  7 16:26:28 PDT 2020,1,1470,130,279.763010278513
Santa Clara, CA, Sat May  9 00:24:06 PDT 2020,2,2835,118,491.529236459109
Santa Clara, CA, Sat May  9 00:24:08 PDT 2020,1,2441,116,465.112605459282
Cupertino, CA, Sat May  9 00:24:10 PDT 2020,2,3340.5,114,556.857897403769
Cupertino, CA, Sat May  9 00:24:11 PDT 2020,1,2395,112,642.47072349656
San Francisco, CA, Sat May  9 00:24:13 PDT 2020,2,3995,115,1513.90826362221
San Francisco, CA, Sat May  9 00:24:15 PDT 2020,1,2995,114,829.059312087602
Los Angeles, CA, Sat May  9 00:24:17 PDT 2020,2,2795,125,1944.2437123219
Los Angeles, CA, Sat May  9 00:24:20 PDT 2020,1,1952.5,108,629.406343873223
San Diego, CA, Sat May  9 00:24:22 PDT 2020,2,2150,115,798.953198806121
San Diego, CA, Sat May  9 00:24:24 PDT 2020,1,1815,119,350.625597732012
Seattle, WA, Sat May  9 00:24:27 PDT 2020,2,1790,119,791.378678863615
Seattle, WA, Sat May  9 00:24:29 PDT 2020,1,1650,117,544.994837430968
Boston, MA, Sat May  9 00:24:31 PDT 2020,2,2300,113,939.648443586625
Boston, MA, Sat May  9 00:24:33 PDT 2020,1,1850,108,516.578648584192
New York, NY, Sat May  9 00:24:35 PDT 2020,2,2510,100,756.761508606966
New York, NY, Sat May  9 00:24:37 PDT 2020,1,2050,101,821.209408298047
Philadelphia, PA, Sat May  9 00:24:39 PDT 2020,2,1819,114,671.542739045588
Philadelphia, PA, Sat May  9 00:24:41 PDT 2020,1,1465,115,348.713360921877
Washington, DC, Sat May  9 00:24:43 PDT 2020,2,1708.5,116,907.228079829204
Washington, DC, Sat May  9 00:24:45 PDT 2020,1,1500,107,558.159797976877
Miami, FL, Sat May  9 00:24:47 PDT 2020,2,1650,107,383.98389754562
Miami, FL, Sat May  9 00:24:50 PDT 2020,1,1383,112,307.743570545926
Santa Clara, CA, Sat May  9 16:05:51 PDT 2020,2,2950,118,457.739658573676
Santa Clara, CA, Sat May  9 16:05:53 PDT 2020,1,2452.5,122,438.075306683648
Cupertino, CA, Sat May  9 16:05:55 PDT 2020,2,3469,114,556.91034087651
Cupertino, CA, Sat May  9 16:05:57 PDT 2020,1,2395,108,620.281176192653
San Francisco, CA, Sat May  9 16:06:00 PDT 2020,2,4311,119,1447.1080627213
San Francisco, CA, Sat May  9 16:06:02 PDT 2020,1,3231,117,887.692940966521
Los Angeles, CA, Sat May  9 16:06:04 PDT 2020,2,2570,119,789.864595118226
Los Angeles, CA, Sat May  9 16:06:07 PDT 2020,1,2054.5,118,607.552494111867
San Diego, CA, Sat May  9 16:06:08 PDT 2020,2,2168.5,116,561.629017099879
San Diego, CA, Sat May  9 16:06:10 PDT 2020,1,1799,117,324.825492381727
Seattle, WA, Sat May  9 16:06:12 PDT 2020,2,1942,120,756.247353862537
Seattle, WA, Sat May  9 16:06:15 PDT 2020,1,1695,120,527.893829977479
Boston, MA, Sat May  9 16:06:17 PDT 2020,2,2307,112,697.236249277782
Boston, MA, Sat May  9 16:06:19 PDT 2020,1,1895,103,515.239257141527
New York, NY, Sat May  9 16:06:21 PDT 2020,2,2550,108,927.800848374091
New York, NY, Sat May  9 16:06:23 PDT 2020,1,2100,113,861.488765185645
Philadelphia, PA, Sat May  9 16:06:25 PDT 2020,2,1463,117,511.100121519753
Philadelphia, PA, Sat May  9 16:06:27 PDT 2020,1,1500,105,353.814410126533
Washington, DC, Sat May  9 16:06:29 PDT 2020,2,1822,120,760.776121288444
Washington, DC, Sat May  9 16:06:31 PDT 2020,1,1570,113,616.083896280886
Miami, FL, Sat May  9 16:06:33 PDT 2020,2,1697.5,122,596.289054087805
Miami, FL, Sat May  9 16:06:36 PDT 2020,1,1399,118,236.029756126634
Santa Clara, CA, Sun May 10 12:22:37 PDT 2020,2,3003,118,505.839134123008
Santa Clara, CA, Sun May 10 12:22:40 PDT 2020,1,2445,123,439.325724677095
Cupertino, CA, Sun May 10 12:22:42 PDT 2020,2,3493,115,562.072403728202
Cupertino, CA, Sun May 10 12:22:44 PDT 2020,1,2395,110,637.872345333127
San Francisco, CA, Sun May 10 12:22:47 PDT 2020,2,4450,114,1070.66161325356
San Francisco, CA, Sun May 10 12:22:49 PDT 2020,1,3099,114,3629.02284084602
Los Angeles, CA, Sun May 10 12:22:51 PDT 2020,2,2511,115,991.994326449045
Los Angeles, CA, Sun May 10 12:22:54 PDT 2020,1,2195,126,624.229668001048
San Diego, CA, Sun May 10 12:22:56 PDT 2020,2,2181,117,500.049986891231
San Diego, CA, Sun May 10 12:22:58 PDT 2020,1,1750,117,1202.31586490075
Seattle, WA, Sun May 10 12:23:00 PDT 2020,2,1855,118,798.992511201879
Seattle, WA, Sun May 10 12:23:02 PDT 2020,1,1783,118,468.815869658476
Boston, MA, Sun May 10 12:23:05 PDT 2020,2,2239,111,513.644061374627
Boston, MA, Sun May 10 12:23:07 PDT 2020,1,1895,97,512.959470509006
New York, NY, Sun May 10 12:23:09 PDT 2020,2,2564.5,110,901.003420620574
New York, NY, Sun May 10 12:23:11 PDT 2020,1,2100,112,908.693712839935
Philadelphia, PA, Sun May 10 12:23:13 PDT 2020,2,1795,113,651.518197928003
Philadelphia, PA, Sun May 10 12:23:16 PDT 2020,1,1400,111,450.231840359731
Washington, DC, Sun May 10 12:23:18 PDT 2020,2,1839.5,112,613.149585085464
Washington, DC, Sun May 10 12:23:20 PDT 2020,1,1608,116,482.857832060337
Miami, FL, Sun May 10 12:23:22 PDT 2020,2,1775,121,386.949065739386
Miami, FL, Sun May 10 12:23:25 PDT 2020,1,1450,135,423.968632088537
